school,notenglish,fromnonenglish,notfrench,fromnonfrench
812896,37,7,100,8
775797,25,5,100,0
738857,27,13,100,12
684199,10,5,100,5
783161,35,10,100,10
807712,20,15,100,15
860217,10,0,100,0
681937,15,5,100,10
706631,10,0,100,0
776175,10,5,100,10
696056,47,9,99,9
723967,20,10,100,10
750557,2,1,100,1
724106,40,10,100,10
721020,11,2,100,3
688182,18,10,100,11
864570,5,1,100,1
736228,40,30,100,30
784979,20,3,100,4
733229,30,5,100,10
863785,20,5,100,0
843466,35,10,100,10
706418,20,10,100,10
685984,5,2,100,1
860676,5,0,100,0
703923,11,5,99,5
871140,0,0,100,0
706990,5,5,100,5
710083,5,1,100,1
710954,0,0,100,0
720313,10,0,100,0
735060,10,0,100,5
826211,0,0,100,0
741310,7,5,100,4
845884,5,5,95,5
738050,7,3,100,3
764434,5,5,100,5
771406,5,0,100,5
777242,8,5,99,5
762083,5,0,100,0
691259,0,0,100,0
781282,10,5,100,5
784133,7,5,99,5
789178,4,1,99,1
791806,0,5,100,0
796352,0,0,100,10
798258,1,2,100,2
798460,0,5,100,0
803057,1,4,100,4
806972,0,0,100,0
724084,0,0,100,0
805327,5,0,100,0
811696,0,5,100,0
814423,0,5,95,0
762733,2,3,100,3
772020,0,5,100,5
750435,3,1,99,2
818844,0,0,100,0
820830,0,0,100,0
730718,0,5,100,5
823015,1,3,100,3
826278,6,3,100,3
830801,0,0,100,0
835668,0,0,100,0
840696,3,1,100,1
843156,0,0,100,0
733040,0,5,100,5
852902,0,0,100,0
854980,0,5,95,0
858960,0,0,100,0
2801,10,0,100,0
890855,11,3,100,3
9008,25,0,100,0
14052,20,0,100,0
892025,7,1,100,1
20036,25,10,95,10
36609,20,10,100,5
38083,10,0,100,0
38164,5,0,100,0
42269,15,5,95,0
637517,6,1,100,1
33880,10,5,100,0
33952,24,6,100,6
896446,0,0,100,0
934991,1,1,100,1
179554,5,2,99,2
72907,5,5,100,5
73547,17,1,99,1
82686,10,3,100,2
97110,18,2,100,2
94587,0,0,100,0
